,PRE: WHAT IS PRESENT RELIGION OF R,PRE: RELIGIOUS IDENTIFICATION,PRE: MARITAL STATUS,PRE: SUMMARY: RESPONDENT 5 CATEGORY LEVEL OF EDUCATION,PRE: SEXUAL ORIENTATION OF R [REVISED],PRE: SUMMARY: TOTAL (FAMILY) INCOME,PRE-POST: SUMMARY: 2020 PRESIDENTIAL VOTE,PRE: WHAT IS YOUR (R) SEX? [REVISED],PRE: SUMMARY: R SELF-IDENTIFIED RACE/ETHNICITY,PRE: FOR WHICH CANDIDATE DID R VOTE IN PRESIDENTIAL PRIMARY,PRE: 7PT SCALE LIBERAL-CONSERVATIVE SELFPLACEMENT,Age,weights
5693,Catholic,Traditional,Married,High school credential,Heterosexual or straight,"$50,000-59,999",Joe Biden,Male,White,Joe Biden,Slightly conservative,79,1.10676601526512
5694,Something else,None of the above,Never married,High school credential,Heterosexual or straight,"$40,000-44,999",,Female,Black,,,41,2.322100441142
5695,Protestant,Traditional,Married,Less than high school credential,Heterosexual or straight,"$10,000-14,999",Joe Biden,Female,Multiracial,,,74,0.357962005411176
5696,Something else,Spiritual but not religious,Never married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$50,000-59,999",Donald Trump,Male,White,,Extremely conservative,30,0.66824776950509
5697,Something else,Traditional,Never married,High school credential,Heterosexual or straight,"$15,000-19,999",,Female,Black,Joe Biden,,19,6.65066483795022
5698,Protestant,Mainline,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$80,000-89,999",,Female,White,Joe Biden,Slightly conservative,49,0.0
5699,Protestant,Progressive,Never married,Bachelor’s degree,Homosexual or gay (or lesbian),"$100,000-109,999",Joe Biden,Male,Asian/NHPI,,Liberal,76,1.20619425311694
5700,Something else,Traditional,Never married,High school credential,Heterosexual or straight,"$70,000-74,999",Joe Biden,Female,White,,Moderate; middle of the road,56,0.867055378909484
5701,Nothing in particular,Non-traditional believer,Married,Bachelor’s degree,Heterosexual or straight,"Under $9,999",Other,Female,Asian/NHPI,,Moderate; middle of the road,35,0.260721642742477
5702,Nothing in particular,Spiritual but not religious,Never married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$30,000-34,999",,Female,Black,,Slightly conservative,29,1.02555524433208
5703,Something else,,Married,Bachelor’s degree,Heterosexual or straight,,Joe Biden,,White,,Moderate; middle of the road,-9,0.219318647590335
5704,Something else,Charismatic/Pentecostal,Separated,Bachelor’s degree,Heterosexual or straight,"Under $9,999",Donald Trump,Female,White,Donald Trump,,53,0.124522210853984
5705,Agnostic,Spiritual but not religious,Married,Graduate degree,Heterosexual or straight,"$125,000-149,999",Joe Biden,Female,White,Bernie Sanders,Moderate; middle of the road,58,0.821030309475466
5706,Something else,Spiritual but not religious,Never married,Graduate degree,Heterosexual or straight,"$250,000 or more",Donald Trump,Female,AIAN,3rd party,Moderate; middle of the road,38,0.594355656453985
5707,Catholic,Traditional,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$30,000-34,999",Donald Trump,Female,White,,Conservative,71,0.559949846671658
5708,Something else,Non-traditional believer,Never married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,,,Female,White,,Slightly conservative,45,0.853203135926013
5709,Protestant,Charismatic/Pentecostal,Divorced,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$25,000-29,999",Donald Trump,Female,White,Donald Trump,Conservative,70,0.246149291744272
5710,Nothing in particular,None of the above,Never married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$10,000-14,999",Joe Biden,Male,White,3rd party,Moderate; middle of the road,57,0.204318953813987
5711,Catholic,Traditional,Married,Graduate degree,Heterosexual or straight,"$100,000-109,999",Donald Trump,Male,White,Donald Trump,Moderate; middle of the road,34,1.09585730540039
5712,Catholic,Traditional,Married,High school credential,Heterosexual or straight,"$90,000-99,999",Joe Biden,Female,Hispanic,Joe Biden,Moderate; middle of the road,59,3.41996890750536
5713,Protestant,Traditional,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$100,000-109,999",Donald Trump,Male,White,Donald Trump,Conservative,67,0.576190540378559
5714,Atheist,None of the above,Never married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$35,000-39,999",Joe Biden,Male,Hispanic,,Slightly liberal,30,0.826573299791718
5715,Something else,Spiritual but not religious,Separated,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$50,000-59,999",Joe Biden,Female,Black,,,-9,1.161264437194
5716,Catholic,Mainline,Married,Graduate degree,Heterosexual or straight,"$250,000 or more",Joe Biden,Female,Hispanic,,Moderate; middle of the road,60,1.02496475853492
5717,Something else,Spiritual but not religious,Widowed,Bachelor’s degree,Heterosexual or straight,"$50,000-59,999",Joe Biden,Female,Black,Joe Biden,Extremely conservative,80,0.879612523964265
5718,Protestant,Traditional,Married,High school credential,Heterosexual or straight,"$50,000-59,999",Donald Trump,Female,White,,Extremely conservative,65,1.38576361113341
5719,Muslim,Non-traditional believer,Married,Bachelor’s degree,Heterosexual or straight,"$150,000-174,999",Joe Biden,Male,Asian/NHPI,Joe Biden,Slightly liberal,36,1.69177083500118
