,PRE: WHAT IS PRESENT RELIGION OF R,PRE: RELIGIOUS IDENTIFICATION,PRE: MARITAL STATUS,PRE: SUMMARY: RESPONDENT 5 CATEGORY LEVEL OF EDUCATION,PRE: SEXUAL ORIENTATION OF R [REVISED],PRE: SUMMARY: TOTAL (FAMILY) INCOME,PRE-POST: SUMMARY: 2020 PRESIDENTIAL VOTE,PRE: WHAT IS YOUR (R) SEX? [REVISED],PRE: SUMMARY: R SELF-IDENTIFIED RACE/ETHNICITY,PRE: FOR WHICH CANDIDATE DID R VOTE IN PRESIDENTIAL PRIMARY,PRE: 7PT SCALE LIBERAL-CONSERVATIVE SELFPLACEMENT,Age,weights
2768,Protestant,Secular,Divorced,"Some post-high school, no bachelor’s degree",Homosexual or gay (or lesbian),"$35,000-39,999",Joe Biden,Male,White,Joe Biden,Moderate; middle of the road,50,0.684880659851877
2769,Catholic,Spiritual but not religious,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,,Joe Biden,Male,White,,Moderate; middle of the road,68,0.468247113288773
2770,Nothing in particular,Spiritual but not religious,Divorced,Bachelor’s degree,Heterosexual or straight,"$75,000-79,999",Joe Biden,Female,White,Joe Biden,Slightly liberal,65,0.304394825044323
2771,Protestant,None of the above,Married,Graduate degree,Heterosexual or straight,"$90,000-99,999",Joe Biden,Female,White,Joe Biden,Moderate; middle of the road,-9,0.697216555645204
2772,Something else,Traditional,Never married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$50,000-59,999",Jo Jorgensen,Male,White,Donald Trump,Moderate; middle of the road,29,0.798465359575828
2773,Orthodox,Traditional,Never married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$50,000-59,999",Donald Trump,Male,White,Donald Trump,Conservative,31,0.960670852317467
2774,Something else,None of the above,Married,Graduate degree,Heterosexual or straight,"$15,000-19,999",Joe Biden,Female,White,Joe Biden,Extremely liberal,45,0.369239566386808
2775,Protestant,None of the above,Never married,Bachelor’s degree,Heterosexual or straight,"$80,000-89,999",Donald Trump,Female,White,,Conservative,58,1.15882230750364
2776,Protestant,Traditional,Married,High school credential,Heterosexual or straight,"$45,000-49,999",Joe Biden,Male,White,Joe Biden,Slightly liberal,66,0.270730733317297
2777,Nothing in particular,Non-traditional believer,Never married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$50,000-59,999",Joe Biden,Female,AIAN,3rd party,Moderate; middle of the road,37,0.37905395337743
2778,Something else,Progressive,Never married,Bachelor’s degree,Heterosexual or straight,"$45,000-49,999",Jo Jorgensen,Male,White,,Slightly conservative,28,1.37509471069493
2779,Jewish,Traditional,Married,Graduate degree,Something else,"$15,000-19,999",Donald Trump,Female,White,,,76,0.361534639371162
2780,Nothing in particular,Spiritual but not religious,Married,Bachelor’s degree,Heterosexual or straight,"$75,000-79,999",Joe Biden,Female,White,Joe Biden,Moderate; middle of the road,31,0.400857112349634
2781,Catholic,Traditional,Divorced,Less than high school credential,Heterosexual or straight,"Under $9,999",Donald Trump,Female,AIAN,Another Republican,Extremely conservative,64,0.980240074935001
2782,Nothing in particular,Spiritual but not religious,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$50,000-59,999",Donald Trump,Male,White,Donald Trump,Extremely conservative,71,0.873598892552016
2783,Atheist,Secular,Never married,Graduate degree,Heterosexual or straight,"$80,000-89,999",Joe Biden,Female,White,Bernie Sanders,Liberal,30,0.238327916802459
2784,Catholic,Non-traditional believer,Never married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"Under $9,999",,Female,White,,Slightly liberal,65,0.0
2785,Nothing in particular,None of the above,Divorced,High school credential,Heterosexual or straight,"$60,000-64,999",Joe Biden,Female,White,,Moderate; middle of the road,70,1.55216680971219
2786,Catholic,Traditional,Widowed,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$10,000-14,999",Donald Trump,Female,Hispanic,,Conservative,73,0.264812672093859
2787,Protestant,Traditional,Never married,Bachelor’s degree,Heterosexual or straight,"$50,000-59,999",,Male,White,,Moderate; middle of the road,37,0.724188324749311
2788,Catholic,Charismatic/Pentecostal,Married,Bachelor’s degree,Heterosexual or straight,"$75,000-79,999",Joe Biden,Female,White,Joe Biden,Slightly liberal,62,0.636632510179834
2789,Orthodox,Non-traditional believer,Married,Bachelor’s degree,Heterosexual or straight,"$80,000-89,999",,Male,White,Donald Trump,Conservative,37,0.0
2790,Catholic,Traditional,Widowed,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"Under $9,999",Joe Biden,Female,Hispanic,,,76,0.18269259856282
2791,Catholic,Secular,Divorced,Less than high school credential,Heterosexual or straight,"$10,000-14,999",,Male,Hispanic,,Slightly liberal,72,0.368070585394147
2792,Something else,Traditional,Never married,High school credential,Heterosexual or straight,"Under $9,999",Joe Biden,Female,Black,Joe Biden,Extremely liberal,50,1.46188558721523
2793,Catholic,None of the above,Married,Bachelor’s degree,Heterosexual or straight,"$175,000-249,999",Jo Jorgensen,Male,White,Another Republican,Moderate; middle of the road,57,1.14787937113982
2794,Nothing in particular,Non-traditional believer,Never married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$25,000-29,999",,Female,White,,,25,1.25592618323316
2795,Atheist,None of the above,Married,Graduate degree,Heterosexual or straight,"$125,000-149,999",Joe Biden,Male,White,Joe Biden,Liberal,69,0.413285823099509
2796,Protestant,None of the above,Married,Graduate degree,Heterosexual or straight,"$110,000-124,999",Joe Biden,Female,Multiracial,Bernie Sanders,Moderate; middle of the road,40,0.613286932195086
2797,Something else,Charismatic/Pentecostal,Never married,Bachelor’s degree,Heterosexual or straight,"Under $9,999",Joe Biden,Male,White,Joe Biden,,30,1.0638665714767
2798,Nothing in particular,None of the above,Married,High school credential,Heterosexual or straight,"$100,000-109,999",Joe Biden,Male,White,,Moderate; middle of the road,38,1.69893924461257
2799,Protestant,Spiritual but not religious,Married,Bachelor’s degree,Heterosexual or straight,"$150,000-174,999",Donald Trump,Male,White,,Conservative,51,0.903207926877213
2800,Catholic,Mainline,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$30,000-34,999",Donald Trump,Female,White,,Conservative,68,0.512469457921704
2801,Protestant,Progressive,Married,Graduate degree,Heterosexual or straight,"$125,000-149,999",Joe Biden,Male,White,Joe Biden,Moderate; middle of the road,57,1.07276506409479
2802,Nothing in particular,Spiritual but not religious,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$40,000-44,999",Donald Trump,Female,White,Donald Trump,Slightly conservative,55,1.35494054181686
2803,Atheist,Spiritual but not religious,Divorced,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$65,000-69,999",Joe Biden,Male,White,Pete Buttigieg,Liberal,55,0.663914145762333
2804,Protestant,Traditional,Divorced,Graduate degree,Heterosexual or straight,"$40,000-44,999",Donald Trump,Female,White,Donald Trump,Extremely conservative,68,0.296917055729978
2805,Nothing in particular,None of the above,Never married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$50,000-59,999",,Male,White,,Moderate; middle of the road,26,0.0
2806,Catholic,Traditional,Married,High school credential,Heterosexual or straight,"$80,000-89,999",Donald Trump,Female,Hispanic,,Slightly conservative,59,3.85913510962598
2807,Catholic,Traditional,Divorced,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$65,000-69,999",Joe Biden,Male,White,,Moderate; middle of the road,57,0.430755624170596
2808,Something else,Spiritual but not religious,Divorced,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$45,000-49,999",Donald Trump,Female,Black,,Conservative,52,0.593807397009929
2809,Nothing in particular,Traditional,Married,Bachelor’s degree,Heterosexual or straight,"$60,000-64,999",Donald Trump,Male,White,Donald Trump,Conservative,69,0.933280404918418
2810,Catholic,None of the above,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$150,000-174,999",Donald Trump,Female,White,,Conservative,52,1.42594142309495
2811,Catholic,Traditional,Married,Less than high school credential,Heterosexual or straight,"$90,000-99,999",Donald Trump,Female,Hispanic,,Extremely conservative,66,2.23362627281514
2812,Atheist,None of the above,Married,Graduate degree,Heterosexual or straight,"$125,000-149,999",Joe Biden,Male,White,Joe Biden,Slightly liberal,55,0.715629376269795
2813,Agnostic,Traditional,Married,Bachelor’s degree,Heterosexual or straight,"$100,000-109,999",,Male,Multiracial,,Moderate; middle of the road,39,1.35189282453372
2814,Nothing in particular,Spiritual but not religious,Married,Graduate degree,Heterosexual or straight,"$250,000 or more",,Female,White,Joe Biden,Liberal,34,0.0
2815,Catholic,Traditional,Married,Bachelor’s degree,Heterosexual or straight,"$60,000-64,999",,Male,White,,Conservative,77,0.0
2816,Agnostic,None of the above,Married,Graduate degree,Heterosexual or straight,"$250,000 or more",Joe Biden,Male,White,,Conservative,41,0.565627173692662
2817,Something else,Traditional,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$125,000-149,999",Donald Trump,Male,White,Donald Trump,Conservative,61,0.885061032635145
2818,Catholic,Spiritual but not religious,Divorced,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$20,000-24,999",Donald Trump,Male,Hispanic,,Conservative,59,0.558887390074016
2819,Protestant,Spiritual but not religious,Never married,Bachelor’s degree,Heterosexual or straight,"$175,000-249,999",Jo Jorgensen,Female,Hispanic,,Moderate; middle of the road,25,2.40808929766786
2820,Catholic,Non-traditional believer,Married,High school credential,Heterosexual or straight,"$150,000-174,999",,Male,White,,Slightly conservative,37,2.08283902993265
2821,Something else,Non-traditional believer,Widowed,Less than high school credential,Heterosexual or straight,"$35,000-39,999",Joe Biden,Male,White,Joe Biden,Moderate; middle of the road,68,0.681400120958046
2822,Something else,Progressive,Married,Bachelor’s degree,Heterosexual or straight,"$70,000-74,999",Joe Biden,Female,White,Joe Biden,Liberal,29,0.715116565418807
2823,Nothing in particular,Spiritual but not religious,Never married,Graduate degree,Heterosexual or straight,"$150,000-174,999",Joe Biden,Female,Asian/NHPI,Joe Biden,Slightly liberal,60,0.532938659576333
2824,Something else,Traditional,Married,High school credential,Heterosexual or straight,"$100,000-109,999",Donald Trump,Male,White,,Extremely conservative,58,2.04334146370056
2825,Something else,Traditional,Never married,High school credential,Heterosexual or straight,"$110,000-124,999",Donald Trump,Male,White,Donald Trump,,74,0.355840502244603
2826,Orthodox,Progressive,Married,Graduate degree,Heterosexual or straight,"$100,000-109,999",Donald Trump,Female,White,,Slightly conservative,28,0.621307393668117
2827,Protestant,Charismatic/Pentecostal,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$90,000-99,999",Donald Trump,Female,White,Donald Trump,Conservative,63,0.487653711123048
2828,Something else,Non-traditional believer,Married,,Heterosexual or straight,"$250,000 or more",Donald Trump,Male,White,,Conservative,55,3.04284251318248
2829,Catholic,Non-traditional believer,Never married,Less than high school credential,Heterosexual or straight,"$20,000-24,999",Joe Biden,Male,Hispanic,Bernie Sanders,Conservative,24,0.751227940546554
2830,Catholic,None of the above,Never married,"Some post-high school, no bachelor’s degree",Homosexual or gay (or lesbian),"$20,000-24,999",Joe Biden,Male,Hispanic,Bernie Sanders,Liberal,24,0.8115192215138
2831,Catholic,Mainline,Married,Bachelor’s degree,Heterosexual or straight,"$125,000-149,999",,Male,White,Donald Trump,Slightly conservative,58,1.29798577946143
2832,Atheist,None of the above,Divorced,Graduate degree,Heterosexual or straight,"$175,000-249,999",Joe Biden,Male,White,,Slightly conservative,70,0.415472952171016
2833,Protestant,Mainline,Married,Graduate degree,Heterosexual or straight,"$100,000-109,999",Joe Biden,Male,Asian/NHPI,,Moderate; middle of the road,65,0.440163819568839
2834,Jewish,Progressive,Married,Graduate degree,Heterosexual or straight,,,Female,White,Joe Biden,Liberal,40,0.0
2835,Protestant,Traditional,Married,High school credential,Heterosexual or straight,"$60,000-64,999",Joe Biden,Female,White,Joe Biden,,66,1.03544988373116
2836,Catholic,None of the above,Divorced,Bachelor’s degree,Heterosexual or straight,"$10,000-14,999",Joe Biden,Male,Hispanic,Joe Biden,Moderate; middle of the road,60,0.625037922924715
2837,Protestant,Traditional,Widowed,"Some post-high school, no bachelor’s degree",Heterosexual or straight,,Other,Male,,Bernie Sanders,Slightly conservative,-9,0.416195299202368
2838,Atheist,Secular,Never married,"Some post-high school, no bachelor’s degree",Something else,"$65,000-69,999",,Male,Multiracial,Bernie Sanders,Liberal,28,0.0
2839,Nothing in particular,None of the above,Never married,High school credential,Heterosexual or straight,"$250,000 or more",Donald Trump,Male,Black,,Slightly conservative,33,6.62110864714545
2840,Something else,Spiritual but not religious,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$75,000-79,999",,Female,Black,,Moderate; middle of the road,67,0.0
2841,Something else,Traditional,Married,Bachelor’s degree,Heterosexual or straight,"$80,000-89,999",Donald Trump,Female,White,,Extremely conservative,36,1.458347542972
2842,Protestant,Traditional,Widowed,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$50,000-59,999",Donald Trump,Female,White,Donald Trump,Slightly conservative,80,0.305546478602423
2843,Something else,Progressive,Never married,"Some post-high school, no bachelor’s degree",Something else,"$90,000-99,999",Joe Biden,Female,White,,Extremely liberal,21,2.12601508329482
2844,Something else,None of the above,Never married,Bachelor’s degree,Heterosexual or straight,"$80,000-89,999",Joe Biden,Male,White,,Slightly liberal,29,0.753269255522072
2845,Protestant,Spiritual but not religious,Widowed,High school credential,Heterosexual or straight,"$20,000-24,999",Donald Trump,Female,White,,Moderate; middle of the road,80,0.295270833853664
2846,,None of the above,Never married,Bachelor’s degree,Heterosexual or straight,"$60,000-64,999",Joe Biden,Male,Asian/NHPI,Joe Biden,Liberal,26,0.848987586977369
2847,Nothing in particular,None of the above,Married,High school credential,Heterosexual or straight,"$40,000-44,999",Joe Biden,Male,Black,,,25,2.13717027877193
2848,Nothing in particular,Spiritual but not religious,Divorced,Bachelor’s degree,Heterosexual or straight,"$150,000-174,999",,Male,White,,Moderate; middle of the road,52,4.02951140450471
2849,Jewish,Spiritual but not religious,Married,Bachelor’s degree,Heterosexual or straight,"$250,000 or more",Joe Biden,Male,White,Amy Klobuchar,Slightly liberal,61,0.714982818659202
2850,Catholic,None of the above,Married,Bachelor’s degree,Heterosexual or straight,"$100,000-109,999",Joe Biden,Male,White,Joe Biden,Slightly liberal,29,0.843062826562886
